0,1,2,3
2023,2024,Also h.,"Centi, Centipede, CT at 31 Decmep R."
,,,Investment activities
"(10,456,518)","(10,114,320)",,Purchase of boring T plants and equipment
"(29,770)","(42,124)",12,Purchase of investments in property rights tools
"286,978","50,000",11,Receivables from the accrual of investments in debt instruments
"(36,757)","(85,909)",,Additions to intangible assets
"81,168","33,343",,Derived from sale of boring Ts and factories and equipment
,,,The contribution and acquisition of capital to evil is a fellow.
"(1,467,340)","(1,047,703)",10,Joint projects
,,,The distributions of profits received from non-full joint ventures
"1,136,841","841,891",10,And the evil of a fellow.
"101,621",855,10 and 12.,Acquisitions from sale and liquidation of investments in property rights devices
"(1,380,968)","2,160,060",,"Short-term investments, net"
-,"1,163,045",34,Derived from the sale of the non-continuing operation.
-,"(1,365,147)",34,Cash and semi-cash transfers
-,"(202,102)",,Net cash from the sale of the non-continuing operation
-,"562,424",2-35,Collections from sale of assets held for sale
-,"(142,781)",2-35,Cash and semi-cash erased
-,"419,643",,Net cash flow excluding assets held for sale
"(11,764,745)","(7,986,366)",,Net cash used for investing activities
