0,1,2,3
2023,2024,Also h.,"Centi, Centipede, CT at 31 Decmep R."
,,,Funding activities
"۹,۰۰۰,۰۰۰","۱۲,64۳,۷5۰",۱۸,Loans received
"(۹,۷۰6,۱۷4)","(۱۰,4۰5,۲۷5)",۱۸,Loans repaid
"(۱,4۸۰,۸5۱)","(۱,۰۷5,۳۲۹)",۱۸,Reimbursable rent.
"(۱۱,4۰۰,۹6۱)","(۱۰,۱۰۰,54۷)",۱۸,Payout for shareholders.
"(5,۳۱6,56۸)","(۲,6۱۸,۷۷۰)",۱۸,Profit distributions paid for uncontrollable property rights.
"(۱۸,۹۰4,554)","(۱۱,556,۱۷۱)",,Net cash used for financing activities
"(6,۲۱6,۳۷۹)","(۳,۱۸۳,۹4۱)",,Cash and quasi-cash shortages
,,,Net foreign exchange exchange loss on cash
"(۲۷,۳۸۱)","(۷5,۰۲5)",,And semi-cash.
"4۰,۰۳۹,۱۳5","۳۳,۷۹5,۳۷5",۱۸,Cash and semi-cash at the beginning of the year
"۳۳,۷۹5,۳۷5","۳۰,5۳6,4۰۹",۱۸,Cash and semi-cash at the end of the year
"۳۲,4۱4,۹۹6","۳۰,5۳۹,66۸",۱۸,Cash and semi-cash
"۱,۳۸۳,646",-,4 and 5,Cash and semi-cash (listed in assets held for sale)
"(۳,۲6۷)","(۳,۲5۹)",,Less: Short-term loans (bank overdrafts)
"۳۳,۷۹5,۳۷5","۳۰,5۳6,4۰۹",,Cash and semi-cash at the end of the year
,,۳4,Cash flows for the non-continuing operation
